symbol,score,model_scores,weight
600498,0.19200778110128106,"{'lgbm': 0.1924, 'histgb': 0.2154, 'rf': 0.3671, 'svm': 0.1911, 'knn': 0.099, 'linear': 0.0871}",0.02
603052,0.19193838069993893,"{'lgbm': 0.1957, 'histgb': 0.1769, 'rf': 0.2906, 'svm': 0.2787, 'knn': 0.1136, 'linear': 0.0961}",0.02
301338,0.19114394057063525,"{'lgbm': 0.1742, 'histgb': 0.2059, 'rf': 0.3738, 'svm': 0.0953, 'knn': 0.2126, 'linear': 0.085}",0.02
300816,0.1909409332605925,"{'lgbm': 0.1593, 'histgb': 0.1716, 'rf': 0.2933, 'svm': 0.3546, 'knn': 0.0865, 'linear': 0.0804}",0.02
600791,0.19093635474545886,"{'lgbm': 0.1876, 'histgb': 0.1505, 'rf': 0.3274, 'svm': 0.3314, 'knn': 0.0648, 'linear': 0.0838}",0.02
688807,0.1909223515221358,"{'lgbm': 0.205, 'histgb': 0.2177, 'rf': 0.364, 'svm': 0.1392, 'knn': 0.1227, 'linear': 0.0968}",0.02
301387,0.1876460048166827,"{'lgbm': 0.1827, 'histgb': 0.1714, 'rf': 0.3681, 'svm': 0.2229, 'knn': 0.1069, 'linear': 0.0738}",0.02
301306,0.18669988125998335,"{'lgbm': 0.2676, 'histgb': 0.219, 'rf': 0.3301, 'svm': 0.1743, 'knn': 0.0452, 'linear': 0.0841}",0.02
688603,0.18668770351714056,"{'lgbm': 0.1688, 'histgb': 0.1761, 'rf': 0.3966, 'svm': 0.0822, 'knn': 0.213, 'linear': 0.0835}",0.02
600714,0.18649453443786887,"{'lgbm': 0.1675, 'histgb': 0.1582, 'rf': 0.3254, 'svm': 0.2791, 'knn': 0.1041, 'linear': 0.0845}",0.02
688191,0.18535193681484455,"{'lgbm': 0.1878, 'histgb': 0.1525, 'rf': 0.3581, 'svm': 0.218, 'knn': 0.1196, 'linear': 0.076}",0.02
600246,0.18422393759194822,"{'lgbm': 0.2278, 'histgb': 0.2304, 'rf': 0.2629, 'svm': 0.1601, 'knn': 0.1336, 'linear': 0.0905}",0.02
002865,0.1837278035309479,"{'lgbm': 0.1387, 'histgb': 0.1543, 'rf': 0.2898, 'svm': 0.3673, 'knn': 0.0703, 'linear': 0.082}",0.02
603063,0.182492122320512,"{'lgbm': 0.1959, 'histgb': 0.1805, 'rf': 0.3172, 'svm': 0.1889, 'knn': 0.1135, 'linear': 0.099}",0.02
