,momentum,reversal,lowvol,multifactor,rotation,基准·等权全市场,基准·沪深300
2023-09-01,0.0,0.0,0.0,-0.044379198234518635,,-0.023717873892136455,-0.04633877637258155
2023-10-09,0.0,0.0,0.0,-0.020353889327689556,-0.005088472331922389,-0.007717886155595217,-0.028157795484097248
2023-11-01,0.0,0.0,0.0,-0.02170596186221574,-0.005426490465553935,-0.005976585767673881,-0.03085707772346946
2023-12-01,0.0,0.0,0.0,0.07643168571090642,0.019107921427726604,0.056217297322178617,-0.024684754818637744
2024-01-02,0.03201537442325986,-0.032837330718783586,-0.016187855370114468,-0.044708987196583894,-0.015429699715555523,-0.00191124906483578,-0.027715568724733575
2024-02-01,-0.19190720862285637,-0.13966507663207828,-0.01261130874319194,-0.13635400555193566,-0.12013439988751556,-0.2021098717819731,-0.04979993208026334
2024-03-01,-0.027335729784680685,-0.101118035528173,0.04163567091312159,-0.020316491145206284,-0.026783646386234594,0.09004245947227718,0.09947757877496732
2024-04-01,-0.06903118594875879,0.08326853195538164,0.005082688022701509,-0.012878111390325686,0.0044788258726229276,0.05072081595728862,0.016351970150941142
2024-05-06,-0.05129615996909276,-0.15214785180175439,0.036387123233906804,-0.0779304351829837,0.01940730511844805,-0.01192927966677903,0.017307023764826956
2024-06-03,-0.062364214150034014,-0.017381610399302083,0.010887184669090999,-0.03392488143126937,0.004524912495704978,-0.04750429657869155,-0.01889892506041757
2024-07-01,-0.06877765732644903,-0.05425533565557139,-0.00944527913458626,-0.03708721485236155,-0.01517503437070031,-0.05660777817580551,-0.03081017067223968
2024-08-01,-0.08619401472560295,0.1500902565179476,0.010068853084326479,-0.01432148068005934,0.010910948817339776,0.0003693279008256423,-0.016937018785686764
2024-09-02,-0.11809134771203467,-0.07576454313336278,-0.04723600555956797,-0.11718261346406667,-0.05459820067394884,-0.05613505398620186,-0.045114892944985274
2024-10-08,0.04623744532283269,0.4690921280787568,0.21009955129908042,0.2781460773591362,0.21719420333662318,0.3745303823734892,0.3035488405854807
2024-11-01,-0.0021814451844303084,-0.03759105582435163,-0.03733689282433528,-0.06584686523626637,-0.03712165254714252,-0.03860937736175781,-0.08601301661145189
2024-12-02,0.02633078641814457,0.09513521248774759,0.056897518115049506,0.05746250488152338,0.07591142401422388,0.11522331528336971,0.014809692495154403
2025-01-02,-0.1541727638369793,-0.020467915652933155,-0.0129844286200822,-0.07936283027920277,-0.031888820329947276,-0.08839674015925131,-0.03222946426083495
2025-02-05,-0.012765938281455336,-0.012604140646853335,-0.01047826748392966,-0.00578403451315046,-0.010994558336205603,0.01457416365328948,-0.006627578264056133
2025-03-03,0.10762003024967348,0.16054744975551483,-0.010343275080409109,0.10025866836378428,0.0912756937100638,0.08006317803045848,0.024608176902726653
2025-04-01,-0.008764866769707003,-0.03595345416221618,0.029612057454492025,0.023304893726936227,-0.0015772809461253772,0.00973516826029867,-0.00020316474088777348
2025-05-06,-0.15993655665241013,-0.08417036551682033,-0.007288331479137766,-0.05212750874796279,-0.07058816693631752,-0.0013704532625710853,-0.020356613713062743
2025-06-03,0.026953897775468194,0.06701248358331857,0.03391427695649596,0.03262865021421546,0.04391415693841009,0.030302621756997876,0.011413822619691594
2025-07-01,0.027393348344774138,0.07597202032184103,0.007851405021911395,0.03454515528269453,0.03549695481981041,0.057850076092647924,0.02355912887038203
2025-08-01,-0.040781907604226286,0.05258741570023373,0.013324308845270805,0.003214721165414547,0.017657164998656744,0.05281516411889843,0.028449613975996435
2025-09-01,0.1066219728416673,0.09464475075381906,0.024262529276594336,0.08569578693680935,0.06600300755109996,0.09177593827202032,0.1156074210898832
2025-10-09,-0.0640248204835625,-0.011814908987468953,-0.020768419191374177,0.013871543582283152,-0.013225266967616542,0.007637367305280398,0.04106585081713887
2025-11-03,-0.029218852896724323,0.0316634258534676,0.02408298925865382,0.03492384731419795,0.027479807260724007,0.015649674287937197,-0.01190789641319212
2025-12-01,0.017014067613946082,-0.05488511598476831,-0.013327973398529869,0.04798069933103388,-0.007000209187319733,-0.010557661652367807,-0.016527700176215188
2026-01-05,-0.028486925161062437,0.05155674766365781,-0.022709073697704252,-0.004038163834009456,0.006012802955072101,0.03017699726463826,0.030866450052332794
2026-02-02,0.052426426512557356,0.046725853882167545,0.0023957649057291253,0.017203912176403158,0.02785329914873961,0.0356916654834279,-0.023691378305336297
2026-03-02,0.0033207237445216364,-0.014255408564383787,0.018601384392175513,0.01605605903591334,0.005622837600484099,0.046871308407430354,0.026637110886282622
2026-04-01,-0.1200342399233374,-0.023695082206382945,-0.019422408031757987,-0.04998802965156357,-0.04834840008002654,-0.06792981427579903,-0.04284502830605652
2026-05-06,0.11872572900274658,0.033402425037028616,-0.007664214119809221,0.019237339771612794,0.026685178550056553,0.06985145658230135,0.07755514165711097
2026-06-01,0.1131811084792067,-0.046984727363823975,-0.024313058405724286,-0.03139365608972411,-0.009739632928706103,-0.036903013440799666,-0.006731473071032057
2026-07-01,0.14433954437299112,-0.09864396693187805,-0.0686499875227109,-0.048063850357703775,0.03189389285667657,-0.027039179494052712,0.02368163558520786
