symbol,rank_score,score,model_scores,weight
000988,0.9862820512820513,0.1557014738851749,"{'lgbm': 0.1474, 'xgb': 0.3137, 'rank_lgb': 1.4542, 'huber_lgb': 0.1429, 'risk_aware_lgb': 0.1292, 'temporal_decay_lgb': 0.164}",0.02
603698,0.9862179487179487,0.15907206308114896,"{'lgbm': 0.1794, 'xgb': 0.1489, 'rank_lgb': 1.2642, 'huber_lgb': 0.164, 'risk_aware_lgb': 0.1541, 'temporal_decay_lgb': 0.1513}",0.02
688307,0.9858653846153845,0.18746307429355735,"{'lgbm': 0.148, 'xgb': 0.2446, 'rank_lgb': 0.7243, 'huber_lgb': 0.1819, 'risk_aware_lgb': 0.126, 'temporal_decay_lgb': 0.193}",0.02
688390,0.9857692307692307,0.17180466516706844,"{'lgbm': 0.1722, 'xgb': 0.1572, 'rank_lgb': 0.7414, 'huber_lgb': 0.1769, 'risk_aware_lgb': 0.1492, 'temporal_decay_lgb': 0.1714}",0.02
920576,0.9856089743589744,0.16736698886570545,"{'lgbm': 0.1708, 'xgb': 0.2051, 'rank_lgb': 0.7325, 'huber_lgb': 0.164, 'risk_aware_lgb': 0.1457, 'temporal_decay_lgb': 0.1474}",0.02
300731,0.9855769230769232,0.16525427341331458,"{'lgbm': 0.1926, 'xgb': 0.1551, 'rank_lgb': 0.826, 'huber_lgb': 0.1616, 'risk_aware_lgb': 0.1689, 'temporal_decay_lgb': 0.1538}",0.02
920096,0.9854807692307691,0.17291028019893456,"{'lgbm': 0.1751, 'xgb': 0.1499, 'rank_lgb': 0.8507, 'huber_lgb': 0.1728, 'risk_aware_lgb': 0.1471, 'temporal_decay_lgb': 0.173}",0.02
300959,0.9850961538461539,0.17024343381284085,"{'lgbm': 0.1675, 'xgb': 0.1905, 'rank_lgb': 0.7049, 'huber_lgb': 0.173, 'risk_aware_lgb': 0.1422, 'temporal_decay_lgb': 0.1531}",0.02
603285,0.9831410256410256,0.16446995753963423,"{'lgbm': 0.168, 'xgb': 0.1344, 'rank_lgb': 0.9899, 'huber_lgb': 0.1631, 'risk_aware_lgb': 0.1483, 'temporal_decay_lgb': 0.1658}",0.02
300137,0.9824038461538461,0.16253686770472814,"{'lgbm': 0.1488, 'xgb': 0.1762, 'rank_lgb': 1.317, 'huber_lgb': 0.1976, 'risk_aware_lgb': 0.1285, 'temporal_decay_lgb': 0.1196}",0.02
603920,0.9817307692307692,0.17199267304198212,"{'lgbm': 0.1694, 'xgb': 0.1325, 'rank_lgb': 0.6811, 'huber_lgb': 0.1746, 'risk_aware_lgb': 0.1472, 'temporal_decay_lgb': 0.1932}",0.02
688603,0.981698717948718,0.1606622867185128,"{'lgbm': 0.1394, 'xgb': 0.2159, 'rank_lgb': 0.9526, 'huber_lgb': 0.1702, 'risk_aware_lgb': 0.1144, 'temporal_decay_lgb': 0.1511}",0.02
301629,0.9806089743589744,0.15531372245373898,"{'lgbm': 0.1545, 'xgb': 0.1533, 'rank_lgb': 0.8234, 'huber_lgb': 0.1561, 'risk_aware_lgb': 0.135, 'temporal_decay_lgb': 0.1607}",0.02
688800,0.9799679487179488,0.16727927165010426,"{'lgbm': 0.1538, 'xgb': 0.1746, 'rank_lgb': 0.5957, 'huber_lgb': 0.1604, 'risk_aware_lgb': 0.1292, 'temporal_decay_lgb': 0.1741}",0.02
301306,0.9798076923076923,0.1536809216483097,"{'lgbm': 0.1565, 'xgb': 0.1691, 'rank_lgb': 1.2523, 'huber_lgb': 0.1509, 'risk_aware_lgb': 0.1337, 'temporal_decay_lgb': 0.1184}",0.02
920130,0.9793910256410255,0.18728966384781515,"{'lgbm': 0.2344, 'xgb': 0.1506, 'rank_lgb': 0.3934, 'huber_lgb': 0.1731, 'risk_aware_lgb': 0.2015, 'temporal_decay_lgb': 0.1678}",0.02
920078,0.9792948717948717,0.18318690933564688,"{'lgbm': 0.1926, 'xgb': 0.2365, 'rank_lgb': 0.2418, 'huber_lgb': 0.1738, 'risk_aware_lgb': 0.1596, 'temporal_decay_lgb': 0.1651}",0.02
920156,0.9792307692307692,0.15526080678238813,"{'lgbm': 0.1664, 'xgb': 0.1357, 'rank_lgb': 0.7719, 'huber_lgb': 0.1626, 'risk_aware_lgb': 0.1479, 'temporal_decay_lgb': 0.1454}",0.02
300136,0.9786217948717949,0.15055233765275358,"{'lgbm': 0.1504, 'xgb': 0.1971, 'rank_lgb': 0.6536, 'huber_lgb': 0.1507, 'risk_aware_lgb': 0.1304, 'temporal_decay_lgb': 0.1401}",0.02
688226,0.9775320512820512,0.17295670760042914,"{'lgbm': 0.1526, 'xgb': 0.1772, 'rank_lgb': 0.4314, 'huber_lgb': 0.1705, 'risk_aware_lgb': 0.1322, 'temporal_decay_lgb': 0.1755}",0.02
002993,0.977403846153846,0.15187213861236443,"{'lgbm': 0.1494, 'xgb': 0.1406, 'rank_lgb': 0.7775, 'huber_lgb': 0.1544, 'risk_aware_lgb': 0.1299, 'temporal_decay_lgb': 0.1709}",0.02
688807,0.9768589743589744,0.16244260442510622,"{'lgbm': 0.1651, 'xgb': 0.1476, 'rank_lgb': 0.476, 'huber_lgb': 0.1708, 'risk_aware_lgb': 0.1442, 'temporal_decay_lgb': 0.1598}",0.02
688818,0.9760897435897435,0.15443476846937032,"{'lgbm': 0.1583, 'xgb': 0.16, 'rank_lgb': 0.5716, 'huber_lgb': 0.1506, 'risk_aware_lgb': 0.1375, 'temporal_decay_lgb': 0.1418}",0.02
688719,0.9758012820512821,0.16839634884381732,"{'lgbm': 0.1802, 'xgb': 0.1127, 'rank_lgb': 0.5918, 'huber_lgb': 0.1756, 'risk_aware_lgb': 0.1575, 'temporal_decay_lgb': 0.1612}",0.02
